name,product_type,availability,price,original_price,discount_amount,discount_percentage,has_discount,buen_fin_discount,black_friday_discount,image,reviews_count,rating
"SAMSUNG Galaxy S23 Ultra 5G SM-S918B/DS 256GB 12GB RAM, cámara de 200 MP, Desbloqueado de fábrica, Cargador inalámbrico NGP Incluido - Lavanda, SM-S918",smartphone,Available,22388.17,22388.17,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71rjXl9tmJL._AC_UL320_.jpg,65.0,4.3
"SAMSUNG Galaxy S23 8Gb Ram 128Gb ROM 5G Color Negro Desbloqueado de fábrica, versión internacional",smartphone,Out of Stock,,0.0,65.09,26.14,Yes,False,False,https://m.media-amazon.com/images/I/711UD7LyLPL._AC_UL320_.jpg,87.0,4.6
Spigen Funda Case Liquid Air para Samsung Galaxy S23 (2023) - Matte Black,case,Available,299.99,299.99,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/71vmm8ochuL._AC_UL320_.jpg,4652.0,4.7
TUNKARMOR Funda para Samsung Galaxy S23 Case Magnética Integrada - Incluye 2 Protectores de Pantalla [ Compatible con Carga Inalámbrica ] Funda Skin-Touch Samsung Galaxy S23,case,Available,233.1,259.0,25.9,10.0,Yes,False,False,https://m.media-amazon.com/images/I/61bC-Ibh6bL._AC_UL320_.jpg,0.0,
SAMSUNG Smartphone A05 4+128GB LTE Negro Dual SIM,smartphone,Available,1969.0,2999.0,1030.0,34.34,Yes,False,False,https://m.media-amazon.com/images/I/61UjBLFlH2L._AC_UL320_.jpg,160.0,4.3
"SAMSUNG Galaxy S23 Ultra 5G S9180 Dual 512GB 12GB RAM, cámara de 200 MP, Desbloqueado de fábrica, Cargador inalámbrico NGP Incluido - Lavanda",smartphone,Available,19057.69,19057.69,0.0,0.0,No,False,False,https://m.media-amazon.com/images/I/61y7x6coaTL._AC_UL320_.jpg,48.0,4.0
"SAMSUNG EF-ZS918CBEGUS - Funda Protectora para teléfono Galaxy S23 Ultra S, Funda con Ranura para Tarjetas, Ventana Transparente para Usar el Touch, versión Estadounidense, Color Negro",case,Available,1152.08,1289.26,137.18,10.64,Yes,False,False,https://m.media-amazon.com/images/I/417RdF25k2L._AC_UL320_.jpg,902.0,4.7
"JETech Protector de Pantalla para Samsung Galaxy S23 FE 6.4 Pulgadas, Mica Cristal Vidrio Templado, Compatible Huellas Dactilares ID, HD Transparente, 3 Unidades",smartphone,Available,169.14,199.0,29.86,15.01,Yes,False,False,https://m.media-amazon.com/images/I/71iLAHxqBnL._AC_UL320_.jpg,1372.0,4.8
Samsung Galaxy S23 8GB_256GB Crema Desbloqueado,smartphone,Out of Stock,,0.0,29.86,15.01,Yes,False,False,https://m.media-amazon.com/images/I/61jeifUxvYL._AC_UL320_.jpg,75.0,4.4
"Samsung Celular Galaxy M55 5G Verde 8GB RAM 128GB, Nacional con Garantía",smartphone,Available,4997.07,7999.0,3001.93,37.53,Yes,False,False,https://m.media-amazon.com/images/I/61NGj+turzL._AC_UL320_.jpg,77.0,4.4
"SAMSUNG Celular Galaxy Z Flip 6 Azul Claro 12GB RAM 5125GB, AI, Nacional con Garantía",smartphone,Available,19999.0,27999.0,8000.0,28.57,Yes,False,False,https://m.media-amazon.com/images/I/510eJVItgvL._AC_UL320_.jpg,0.0,
"SAMSUNG Celular Galaxy Z Flip 6 Amarillo 12GB RAM 512GB, AI, Nacional con Garantía",smartphone,Available,19999.0,27999.0,8000.0,28.57,Yes,False,False,https://m.media-amazon.com/images/I/51uu0TFBCvL._AC_UL320_.jpg,0.0,
"SAMSUNG Audifonos inalámbricos Galaxy Buds3 Grafito, AI, Nacional con Garantía",watch,Available,1899.0,2499.0,600.0,24.01,Yes,False,False,https://m.media-amazon.com/images/I/51+2Ehf-RrL._AC_UL320_.jpg,133.0,4.3
SAMSUNG - Reloj Galaxy Watch5 Pro 45 mm Negro Titanio,watch,Available,3812.59,9999.0,6186.41,61.87,Yes,False,False,https://m.media-amazon.com/images/I/61oIhW5c+2L._AC_UL320_.jpg,490.0,4.7
